country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
New Zealand,2023,NZL,5228101.0,,24.58,0.012,11.415,0.06,296.475,1.55,3.482,0.025,112.758,-10.644,-1.357,2178.54,11.39,338.555,1.77,-0.311,-0.057,3494.778,18.271,3.976,4.763,44.52,44.52,25.153,2.982,6.924,45740.266,,4.643,6.126,1078.786,5.64,26407.25,138.06,12.668,57.733,5.076,1.838,38.055,621.641,3.25,7278.888,,,,,7.3,15.914,5.02,0.884,0.355,68.86,4980.776,26.04,13171.157,58.491,28.796,1.168,0.798,101.075,7436.735,38.88,19333.018,87.332,42.267,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.802,5.644,88.615,118.59,0.62,16949.822,,,,,1.393,37.057,22.792,9.16,7.61,-2.724,-0.728,1752.07,1455.595,4359.548,20.575,17.093,9.531,8515.521,239.135,1.168,0.798,101.075,7436.735,38.88,19333.018,87.332,42.267,33.86,0.244,0.976,40.168,0.21,186.769,0.472,0.408,12.667,0.916,8.387,663.721,3.47,1604.127,7.794,3.507
Nigeria,2023,NGA,223804640.0,,,,,,0.089,0.02,0.049,,523.247,,,,,0.0,0.0,,,,,0.0,,40.65,40.65,,,,,,,,144.322,32.3,,,79.459,,,,,144.322,32.3,,-7.267,-34.241,1952.387,436.953,79.459,,21.27,,,,36.997,8.28,,20.369,,,,,37.309,8.35,,20.541,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,6.711,54.06,3841.001,859.634,0.0,,,0.02,0.0,,,0.089,0.0,,0.049,0.0,,181.632,,,,,37.309,8.35,,20.541,,,,,0.223,0.05,,0.123,,,,,0.0,0.0,,0.0,
Non-OECD (EI),2023,,,,11.15,52.565,,524.024,,,,0.484,,4.701,1732.195,,38578.914,,8608.574,4.103,1631.469,,41398.684,45.922,35.636,,18746.152,19.088,4.262,4425.539,,,4.009,3525.398,,12438.993,,91467.477,66.355,84.49,1.706,378.021,22531.615,,3282.818,,-0.908,-222.463,,24267.783,17.512,20.813,,-2.531,-220.319,7415.077,,2854.52,,15.227,6.849,6.231,900.137,16791.404,,6218.411,,33.172,15.51,,,1.839,32.687,2258.355,,905.985,,4.833,2.086,4.89,1415.182,30356.949,,547.601,,0.097,35.059,,36020.281,2.921,28.041,1236.892,395.645,,5.047,59.663,,,,2.111,,1.143,,108258.883,6.947,867.45,14533.049,,5312.425,,28.339,13.424,32.928,564.011,2302.377,,886.327,,4.728,2.127,15.991,411.529,3054.678,,1175.934,,6.273,2.822
Non-OPEC (EI),2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.284,1076.43,,33850.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2023,,604182945.0,,13.134,62.087,885.144,534.789,,,,1.62,,-16.012,-474.067,4115.771,2486.679,,,-1.383,-51.474,6074.033,3669.827,,7.531,,,,-0.959,-319.645,54651.148,,-1.101,-292.984,,,43561.695,26319.234,,79.709,0.946,105.484,11256.269,,,18630.562,3.903,483.5,21303.639,12871.295,,34.09,,-9.319,-172.706,1617.195,,,2676.665,,4.898,1.29,-26.658,6700.06,,,11089.456,,20.291,,,0.872,11.501,2287.201,,,3785.61,,6.927,0.605,75.597,12576.286,,,20815.361,6.469,857.205,23350.281,14107.842,,38.088,259.159,,,-2.912,-8.556,,,428.941,,,0.785,,33019.293,1.482,-38.159,4412.859,,,7303.846,,13.364,17.497,105.436,723.092,,,1196.81,,2.19,-1.516,-24.42,1278.624,,,2116.285,,3.872
North America (EI),2023,,,,13.244,62.209,,531.91,,,,1.641,,-16.211,-474.625,,2453.164,,789.824,-1.383,-51.474,,3669.827,14.408,7.569,,5481.995,19.13,-1.03,-337.232,,,-1.191,-310.229,,3078.25,,25736.287,56.152,79.403,0.952,104.199,11047.671,,2232.477,,4.06,492.037,,12611.354,40.724,34.085,,-9.297,-171.801,1612.933,,620.917,,11.326,4.976,1.292,-27.006,6675.841,,2388.677,,43.573,20.597,,,0.872,11.501,2287.201,,917.558,,16.738,7.057,0.494,60.197,12235.452,,55.948,,6.517,859.243,,14043.561,1.021,37.75,255.474,84.774,,-2.925,-8.471,,,,1.546,,0.788,,32412.129,1.485,-38.507,4388.64,,1471.12,,26.835,13.54,17.382,103.678,715.163,,275.31,,5.022,2.206,-1.502,-24.122,1273.161,,490.118,,8.941,3.928
North America (Ember),2023,,,,,,,,,56.38,1.154,,343.522,,,,,,707.59,,,,,14.487,,4884.46,4884.46,,,,,,,,,2636.53,,,53.978,,,,,,1893.22,,,,,,38.76,,1677.92,,,,,599.75,,12.279,,,,,,2247.93,,46.022,,,,,,,,864.26,,17.694,,,,,,35.72,,,,,,0.731,,,74.99,18.61,,,,,,1.535,0.381,,,,,,,,1383.67,,28.328,,,,,,245.6,,5.028,,,,,,463.33,,9.486,
North Macedonia,2023,MKD,2085682.0,,0.0,0.0,1.158,0.002,43.151,0.09,1.322,0.007,565.345,5.451,0.533,4939.625,10.302,1304.13,2.72,,,,,39.941,30.726,6.0,6.81,22.619,9.461,2.898,16076.155,,5.319,1.409,2205.514,4.6,13374.528,27.895,67.548,83.195,26.607,0.742,3.529,647.27,1.35,1691.881,,,,,19.824,10.524,3.85,20.636,0.708,4.216,786.314,1.64,2021.32,24.082,12.573,36.138,1.489,5.635,1059.605,2.21,2701.626,32.452,16.805,-0.81,-13.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967,0.135,14.064,254.114,0.53,6743.022,,,,,7.783,41.944,0.208,0.09,0.0,80.233,0.093,43.151,0.0,99.861,1.322,0.0,0.621,3265.119,33.53,36.138,1.489,5.635,1059.605,2.21,2701.626,32.452,16.805,234.611,0.559,0.799,163.016,0.34,382.942,4.993,2.382,46.436,0.129,0.41,67.124,0.14,196.345,2.056,1.221
Norway,2023,NOR,5474363.0,,64.176,2.562,1197.159,6.554,43.841,0.24,0.156,1.185,30.08,2.676,0.251,1756.591,9.616,7.307,0.04,,,,,0.026,1.739,135.98,153.59,49.186,3.824,20.371,101031.672,,-0.97,-1.513,409.18,2.24,28196.826,154.36,1.458,27.909,-3.399,-1.335,37.932,252.084,1.38,6929.044,-5.208,-64.083,213054.141,1166.336,0.898,6.858,4.62,6.633,20.779,353.476,24835.768,135.96,64569.398,88.521,63.91,7.144,21.883,398.724,27647.053,151.35,72834.836,98.542,72.091,-17.61,-12.95,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.429,106.811,149.789,0.82,19511.193,6.226,64.58,201274.734,1101.851,0.534,19.312,1.079,0.26,0.02,42.011,0.319,47.494,3.653,197.183,0.169,0.013,0.195,28056.23,553.084,7.144,21.883,398.724,27647.053,151.35,72834.836,98.542,72.091,71.996,0.558,1.339,31.054,0.17,244.587,0.111,0.242,-5.704,-2.335,36.276,2732.738,14.96,6626.515,9.74,6.559
OECD (EI),2023,,,,9.952,71.833,,793.6,,,,1.243,,-12.919,-1036.388,,6986.013,,1904.474,-2.332,-200.341,,8390.476,17.037,10.94,,11178.601,20.301,-1.564,-1014.668,,,-2.941,-1477.57,,5518.452,,48763.188,49.366,76.359,-2.025,-363.162,17570.123,,3463.506,,2.055,328.663,,16324.528,30.983,27.513,,-0.667,-37.369,3599.041,,1385.492,,12.394,5.636,4.05,462.904,15096.998,,5507.643,,49.27,23.641,,,2.328,87.617,4565.822,,1831.673,,16.386,7.15,-0.321,-78.02,24207.051,,150.472,,5.65,877.653,,16411.947,1.346,37.906,1190.969,385.854,,-3.572,-46.105,,,,3.452,,1.865,,63860.184,4.772,375.287,10531.176,,3675.969,,32.884,16.491,15.28,253.843,1961.885,,755.25,,6.756,3.072,5.047,133.086,2985.681,,1149.372,,10.282,4.675
OECD (Ember),2023,,,,,,,,,329.75,3.032,,341.108,,,,,,1877.17,,,,,17.262,,10874.63,10874.63,,,,,,,,,5441.2,,,50.036,,,,,,3332.61,,,,,,30.646,,3709.42,,,,,1371.26,,12.61,,,,,,5433.43,,49.964,,,,,,,,1791.25,,16.472,,,,,,231.42,,,,,,2.128,,,381.55,51.8,,,,,,3.509,0.476,,,,,,,,3642.18,,33.492,,,,,,754.58,,6.939,,,,,,1134.79,,10.435,
OPEC (EI),2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.873,-163.713,,18581.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,2023,,45576094.0,,-3.238,-0.045,29.671,1.352,,,,0.071,,-2.57,-11.351,9443.565,430.401,,,3.788,118.919,71495.922,3258.505,,22.515,,,,0.97,18.363,41942.836,,-0.117,-1.824,,,34227.148,1559.94,,81.604,-6.236,-29.215,439.27,,,9638.162,-1.62,-24.989,33293.82,1517.402,,22.979,,-2.719,-3.439,108.503,,,2380.71,,5.676,6.435,20.188,351.651,,,7715.688,,18.396,,,,0.0,0.0,,,0.0,,0.0,5.946,38.742,690.269,,,15145.419,-8.322,-16.536,3997.077,182.171,,36.11,32.77,,,-2.515,-0.923,,,719.017,,,1.714,,1911.591,6.435,20.188,351.651,,,7715.688,,18.396,19.948,19.242,117.857,,,2585.929,,6.165,6.625,5.353,91.169,,,2000.36,,4.769
Oceania (Ember),2023,,,,,,,,,4.96,1.498,,489.625,,,,,,130.41,,,,,39.39,,331.07,331.07,,,,,,,,,190.3,,,57.48,,,,,,46.86,,,,,,14.154,,162.1,,,,,43.56,,13.157,,,,,,140.77,,42.52,,,,,,,,0.0,,0.0,,,,,,13.03,,,,,,3.936,,,12.96,8.0,,,,,,3.915,2.416,,,,,,,,140.77,,42.52,,,,,,47.59,,14.375,,,,,,36.66,,11.073,
Oman,2023,OMN,4644384.0,,,,,,0.0,0.0,0.0,,564.635,0.0,0.0,303.111,1.408,0.0,0.0,,,,,0.0,,44.79,44.79,10.509,3.164,13.189,92605.32,,3.175,13.107,9585.771,44.52,91712.883,425.95,99.397,,3.421,9.762,295.088,9258.494,43.0,63536.574,2.473,10.415,92913.711,431.527,96.004,,25.29,,,,0.0,0.0,,0.0,,,,,58.135,0.27,,0.603,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.652,3.345,129.454,327.277,1.52,27873.199,-1.696,-10.146,126644.992,588.188,3.394,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,9643.906,430.095,,,,58.135,0.27,,0.603,,2.595,0.084,3.846,58.135,0.27,828.05,0.603,,0.0,-0.001,0.299,0.0,0.0,64.384,0.0,
Pakistan,2023,PAK,240485664.0,,,,,,7.36,1.77,1.099,,440.608,-3.993,-7.13,712.792,171.416,120.465,28.97,71.006,37.012,370.65,89.136,17.988,18.3,161.55,161.05,19.322,-6.208,-62.004,3895.041,,-8.216,-68.662,393.329,94.59,3189.582,767.049,58.733,81.888,-0.937,-3.579,378.444,228.621,54.98,1573.666,-3.122,-8.952,1154.907,277.739,34.138,40.402,70.96,8.384,7.187,97.131,157.598,37.9,403.894,23.533,10.369,4.52,6.658,169.653,276.357,66.46,705.459,41.267,18.112,0.5,0.31,0.551,0.103,55.768,93.311,22.44,231.899,13.934,5.954,-21.063,-57.953,217.189,44.244,10.64,903.125,,,,,6.607,23.187,2.171,1.77,0.0,-29.515,-0.909,7.36,0.0,9.028,1.099,0.0,0.232,669.687,936.701,6.677,6.554,113.884,183.046,44.02,473.56,27.333,12.158,45.814,0.998,3.203,6.029,1.45,13.318,0.9,0.342,-5.622,-0.722,11.38,12.059,2.9,47.32,1.801,1.215
Papua New Guinea,2023,PNG,10329932.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,2023,PRY,6861527.0,,,,,,0.0,0.0,0.0,,23.755,,,,,0.0,0.0,,,,,0.0,,24.29,56.83,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.0,,1.35,,,,8282.413,56.83,,100.0,,,,,8282.413,56.83,,100.0,,-32.54,-133.965,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,8282.413,,,,,8282.413,56.83,,100.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
Peru,2023,PER,34352720.0,,1.952,0.09,136.41,4.686,17.175,0.59,0.984,1.363,266.478,-3.407,-0.287,236.876,8.137,1.747,0.06,,,,,0.1,2.367,59.97,59.93,20.44,1.734,5.86,10008.626,,2.571,6.348,717.556,24.65,7371.403,253.228,41.131,73.65,2.768,2.72,100.978,687.864,23.63,2939.452,3.141,4.698,4490.167,154.249,39.429,29.369,15.97,-2.324,-2.077,75.469,917.249,31.51,2196.878,52.578,21.95,-0.044,-0.488,90.596,1026.993,35.28,2637.223,58.869,26.35,0.04,0.067,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.792,3.915,144.112,27.945,0.96,4195.076,-4.43,-2.776,1743.226,59.885,1.602,41.915,1.573,0.59,0.0,2.515,0.039,17.175,0.0,45.788,0.984,0.0,0.457,1744.549,343.824,-0.044,-0.488,90.596,1026.993,35.28,2637.223,58.869,26.35,16.501,0.381,2.751,27.654,0.95,80.093,1.585,0.8,21.885,1.08,6.117,64.915,2.23,178.053,3.721,1.779
Philippines,2023,PHL,117337368.0,,4.898,0.309,56.484,6.628,9.46,1.11,0.939,1.088,610.688,10.402,23.075,2087.324,244.921,624.098,73.23,,,,,61.923,40.203,118.26,118.26,20.806,6.693,38.219,5191.982,,7.134,35.702,789.604,92.65,4569.4,536.161,78.344,88.009,4.004,1.233,32.037,150.932,17.71,273.035,,,,,14.975,5.259,72.22,0.513,0.039,26.444,77.469,9.09,225.369,7.686,4.341,4.154,2.517,73.052,218.26,25.61,622.582,21.656,11.991,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.598,11.393,259.203,14.573,1.71,2209.041,,,,,1.446,42.547,30.098,12.78,11.67,0.05,-0.203,108.917,99.457,256.504,10.807,9.868,4.94,1007.863,609.214,4.154,2.517,73.052,218.26,25.61,622.582,21.656,11.991,37.266,1.753,6.519,19.005,2.23,55.561,1.886,1.07,22.985,0.619,3.363,12.869,1.51,28.663,1.277,0.552
Poland,2023,POL,41026068.0,,2.996,0.391,327.339,13.429,198.167,8.13,4.818,1.174,661.926,-15.599,-77.314,10196.425,418.319,2511.086,103.02,-13.236,-62.895,10048.996,412.271,61.049,36.584,171.85,168.75,15.864,-3.658,-43.419,27871.273,,-6.22,-66.627,2996.631,122.94,24483.902,1004.478,72.853,87.846,5.257,9.781,195.827,359.527,14.75,4773.237,-5.45,-2.073,876.763,35.97,8.741,17.126,111.7,21.753,1.094,6.225,58.012,2.38,151.729,1.41,0.544,18.024,23.208,138.97,1116.607,45.81,3387.369,27.147,12.154,3.1,1.804,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.233,0.906,390.332,126.017,5.17,9514.242,,,,,3.064,34.136,26.323,8.13,0.0,8.057,1.963,198.167,0.0,641.617,4.818,0.0,2.302,4113.239,1143.449,18.024,23.208,138.97,1116.607,45.81,3387.369,27.147,12.154,40.424,8.647,30.311,298.347,12.24,738.835,7.253,2.651,21.995,11.114,62.682,562.082,23.06,1527.848,13.665,5.482
Portugal,2023,PRT,10247607.0,,21.111,0.691,386.827,3.964,362.036,3.71,8.266,1.505,165.553,-28.571,-0.023,5.674,0.058,0.0,0.0,,,,,0.0,0.022,55.1,44.88,21.877,0.298,0.783,25709.23,,-8.924,-16.511,1190.522,12.2,16442.746,168.499,27.184,63.957,-19.832,-11.084,44.805,1061.711,10.88,4372.231,,,,,24.242,17.006,7.43,84.774,14.358,31.429,1071.47,10.98,3066.971,24.465,11.929,23.779,17.294,94.959,3189.037,32.68,9266.482,72.816,36.043,10.22,18.548,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.188,-5.404,123.636,128.811,1.32,12064.842,,,,,2.941,46.928,11.169,3.9,0.19,-17.734,-2.448,380.577,18.541,1089.92,8.69,0.423,4.239,4379.56,263.458,23.779,17.294,94.959,3189.037,32.68,9266.482,72.816,36.043,55.556,5.045,14.22,445.958,4.57,1387.602,10.183,5.397,-0.657,-0.351,34.177,1291.033,13.23,3335.163,29.479,12.973
Qatar,2023,QAT,2716399.0,,,,,,51.539,0.14,0.257,,602.5,14.109,0.016,48.299,0.131,0.0,0.0,,,,,0.0,,54.39,54.39,8.88,8.742,49.541,226847.656,,8.279,46.818,19967.611,54.24,225427.094,612.35,99.724,,9.59,38.678,442.013,19967.611,54.24,162720.266,1.4,24.983,666237.125,1809.766,99.724,,32.77,,,,0.0,0.0,,0.0,,,,,55.22,0.15,,0.276,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,5.012,8.124,170.206,0.0,0.0,62658.523,1.974,16.685,317307.531,861.934,0.0,,0.429,0.14,0.0,0.0,0.0,51.539,0.0,157.927,0.257,0.0,,20022.83,616.209,,,,55.22,0.15,,0.276,,386.667,2.723,3.43,3.681,0.01,1262.649,0.018,,,0.0,0.0,0.0,0.0,0.0,0.0,
Romania,2023,ROU,19892810.0,,-7.668,-0.376,227.427,4.524,23.124,0.46,0.817,1.276,240.583,-24.532,-10.312,1594.742,31.724,407.182,8.1,-18.759,-6.057,1318.598,26.231,14.392,8.95,53.08,56.28,19.197,-1.574,-5.667,17818.607,,-6.196,-16.453,841.51,16.74,12522.294,249.104,29.744,70.277,-6.439,-6.254,90.86,417.739,8.31,4567.475,1.39,1.216,4460.012,88.722,14.765,25.633,13.54,30.487,10.936,47.375,919.93,18.3,2381.523,32.516,13.365,10.43,10.786,105.359,1987.653,39.54,5296.312,70.256,29.723,-3.2,-6.029,0.92,0.153,27.896,562.012,11.18,1402.309,19.865,7.87,0.09,0.113,126.52,16.589,0.33,6360.078,-4.695,-1.71,1744.546,34.704,0.586,35.693,0.918,0.46,0.0,-55.556,-1.147,23.124,0.0,46.145,0.817,0.0,0.259,2829.163,354.462,14.129,10.632,77.463,1425.641,28.36,3894.003,50.391,21.854,-6.332,-0.346,4.838,104.56,2.08,243.212,3.696,1.365,8.975,1.565,19.807,378.026,7.52,995.695,13.362,5.588
Russia,2023,RUS,144444368.0,,27.323,1.049,33.826,4.886,6.092,0.88,0.075,0.056,441.039,-0.199,-2.123,7372.874,1064.97,1358.447,196.22,-1.491,-38.739,17717.262,2559.159,16.665,12.252,1168.5,1177.47,14.661,0.693,59.81,60175.367,,0.904,68.117,5214.187,753.16,52628.473,7601.887,63.964,87.458,1.107,49.66,4533.709,3771.625,544.79,31387.236,-5.173,-319.86,40595.711,5863.822,46.268,52.16,519.31,1.618,6.438,521.781,1388.77,200.6,3612.332,17.037,6.003,-0.296,-8.308,1090.107,2937.532,424.31,7546.898,36.036,12.542,-8.97,-0.768,-2.824,-17.78,541.87,1505.562,217.47,3751.411,18.469,6.234,1.038,20.581,2003.207,84.115,12.15,13868.365,-1.25,-79.747,43611.98,6299.505,1.032,23.047,2.393,0.85,,0.924,0.015,5.882,,16.567,0.072,,0.028,8151.72,8691.993,2.411,9.472,548.237,1431.97,206.84,3795.486,17.566,6.307,9.849,0.591,6.845,13.915,2.01,47.385,0.171,0.079,13.004,1.379,12.332,23.192,3.35,85.376,0.285,0.142
Serbia,2023,SRB,7149073.0,,,,,,32.172,0.23,0.587,,636.062,,,,,3292.735,23.54,-9.126,-6.346,8838.703,63.189,60.036,,37.0,39.21,,,,,,,,3515.141,25.13,,,64.091,,,,,222.406,1.59,,,,,,4.055,,24.94,,,,1804.43,12.9,,32.9,,,,,1969.486,14.08,,35.909,,-2.21,-5.973,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,,,0.23,0.0,,,32.172,0.0,,0.587,0.0,,5484.627,,,,,1969.486,14.08,,35.909,,,,,1.399,0.01,,0.026,,,,,131.486,0.94,,2.397,
Singapore,2023,SGP,6014725.0,,,,,,275.989,1.66,2.896,,470.783,-18.931,-0.913,650.063,3.91,94.767,0.57,,,,,0.994,,57.33,57.33,5.962,9.319,82.176,160276.984,,9.341,81.917,9099.335,54.73,159430.391,958.93,95.465,,-5.574,-7.28,123.314,8823.346,53.07,20502.008,,,,,92.569,,26.99,,,,,,,,,,,,432.272,2.6,,4.535,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,12.151,90.11,831.706,181.222,1.09,138278.312,,,,,1.901,,2.672,0.837,,-13.659,-0.423,139.143,,444.173,1.46,,,9531.607,964.022,,,,432.272,2.6,,4.535,,39.65,0.681,2.421,156.283,0.94,402.431,1.64,,,0.0,0.0,0.0,0.0,0.0,0.0,
Slovakia,2023,SVK,5795206.0,,1.561,0.031,343.239,1.989,265.737,1.54,5.197,1.066,116.774,-4.506,-1.259,4602.173,26.671,232.951,1.35,,,,,4.556,14.29,26.3,29.63,20.28,3.747,6.74,32204.732,,-2.517,-3.072,776.504,4.5,20531.35,118.983,15.187,63.753,-4.803,-2.118,41.981,410.684,2.38,7244.013,,,,,8.032,22.494,3.46,29.017,2.738,12.327,798.936,4.63,2127.025,15.626,6.605,16.338,9.812,67.65,4336.343,25.13,11673.382,84.813,36.247,-3.33,-12.662,15.164,5.873,45.702,3164.685,18.34,7886.097,61.897,24.487,0.61,0.305,50.332,132.868,0.77,8685.163,,,,,2.599,26.969,6.054,1.55,0.01,27.273,1.297,267.462,1.726,1044.584,5.231,0.034,3.244,5112.847,186.633,18.739,3.939,21.948,1171.658,6.79,3787.284,22.916,11.76,-7.11,-0.126,1.568,105.259,0.61,270.643,2.059,0.84,0.0,-0.0,0.01,0.0,0.0,1.793,0.0,0.006
Slovenia,2023,SVN,2119681.0,,13.811,0.126,490.346,1.039,113.225,0.24,1.577,1.435,231.275,-8.53,-0.743,3761.266,7.973,1504.943,3.19,,,,,20.959,11.008,13.89,15.22,28.576,2.589,1.828,34169.969,,-9.371,-4.207,1736.11,3.68,19192.523,40.682,24.179,56.168,-3.501,-0.278,7.667,202.861,0.43,3616.926,,,,,2.825,10.585,3.52,57.903,4.706,12.915,2339.975,4.96,6092.667,32.589,17.83,22.889,6.034,31.747,5444.215,11.54,14977.448,75.821,43.832,-1.33,-9.575,-0.045,-0.057,13.967,2660.778,5.64,6589.032,37.057,19.283,-11.283,-3.185,25.043,28.306,0.06,11814.331,,,,,0.394,34.575,1.006,0.24,0.0,15.673,0.136,113.225,0.0,474.37,1.577,0.0,1.388,7180.326,72.429,48.676,6.092,17.781,2783.438,5.9,8388.416,38.765,24.549,67.242,1.122,2.805,325.521,0.69,1323.159,4.534,3.872,12.108,0.002,0.017,4.718,0.01,7.874,0.066,0.023
South Africa,2023,ZAF,60414496.0,,0.546,0.004,11.532,0.697,7.117,0.43,0.188,0.052,707.686,-1.582,-14.847,15289.253,923.693,3066.979,185.29,-0.618,-9.344,24869.178,1502.459,81.143,68.519,225.67,228.35,17.415,-0.383,-5.182,22313.898,,-0.286,-3.657,3155.037,190.61,21067.861,1272.804,83.473,94.416,11.18,4.774,47.475,0.0,0.0,785.83,,,,,0.0,3.522,161.6,-45.632,-3.704,4.378,32.443,1.96,72.468,0.858,0.325,-1.751,-1.526,75.279,624.685,37.74,1246.038,16.527,5.584,-2.68,-1.188,-11.856,-3.077,22.191,135.067,8.16,367.319,3.573,1.646,2.173,6.416,301.636,88.058,5.32,4992.778,,,,,2.33,22.375,1.308,0.41,,0.0,0.0,6.781,,21.648,0.179,,0.097,3779.722,1348.083,3.326,1.551,53.087,489.618,29.58,878.718,12.954,3.938,3.271,0.468,16.632,257.72,15.57,275.303,6.818,1.234,19.348,4.783,30.072,192.338,11.62,497.768,5.089,2.231
South America,2023,,439719059.0,,9.186,25.145,679.711,298.882,,,,3.904,,-3.004,-8.513,625.035,274.84,,,-6.07,-30.369,1068.823,469.982,,3.59,,,,3.005,223.396,17411.889,,1.366,62.796,,,10600.557,4661.267,,60.881,-0.993,-14.01,1396.779,,,3176.526,-0.542,-7.42,3093.483,1360.263,,18.243,,1.58,22.459,1877.939,,,4270.771,,24.528,6.465,160.601,2995.073,,,6811.332,,39.119,,,6.559,3.401,58.511,,,133.065,,0.764,2.938,85.319,2989.648,,,6798.996,11.593,449.728,9845.259,4329.148,,39.048,229.927,,,2.302,5.198,,,522.895,,,3.003,,7656.339,6.463,157.199,2936.561,,,6678.267,,38.355,48.886,64.501,197.918,,,450.1,,2.585,14.078,39.897,331.896,,,754.79,,4.335
